Date,Open,High,Low,Close,Volume,Adj Close
2007-11-27,52.50,52.55,51.60,51.95,4000700,42.71
2007-11-26,51.05,53.55,51.05,52.30,7699800,43.00
2007-11-23,51.40,51.50,50.55,50.95,1773300,41.89
2007-11-22,50.20,51.90,50.20,50.75,5653600,41.72
2007-11-21,51.20,51.50,50.30,50.50,6054300,41.52
2007-11-20,50.40,51.60,50.20,51.30,4131800,42.18
2007-11-19,51.50,52.05,50.60,51.15,6529300,42.05
2007-11-16,52.00,52.10,51.55,51.60,5439500,42.42
2007-11-15,51.80,52.35,51.60,51.75,4038800,42.55
2007-11-14,51.20,51.95,51.10,51.90,5438100,42.67
2007-11-13,51.20,51.40,50.35,50.80,8152700,41.76
2007-11-12,51.10,51.90,51.10,51.45,4933000,42.30
2007-11-09,51.70,52.20,51.70,51.90,4687200,42.67
2007-11-08,51.80,52.15,51.70,51.85,4864500,42.63
2007-11-07,52.80,52.85,52.20,52.75,3578700,43.37
2007-11-06,52.50,52.95,52.10,52.40,4438800,43.08
2007-11-05,52.10,52.60,51.90,52.30,3512600,43.00
2007-11-02,52.10,52.65,51.90,52.15,5198100,42.87
2007-11-01,52.65,52.90,52.10,52.40,4444800,43.08
2007-10-31,52.25,52.70,52.00,52.40,5382200,43.08
2007-10-30,52.25,52.90,51.95,52.10,7253900,42.83
2007-10-29,52.50,52.85,52.30,52.85,5737900,43.45
2007-10-26,52.50,52.75,52.25,52.45,5185700,43.12
2007-10-25,52.35,52.95,51.90,52.30,3694500,43.00
2007-10-24,52.05,52.95,52.05,52.15,3805700,42.87
2007-10-23,52.50,52.90,52.00,52.30,2740600,43.00
2007-10-22,52.55,52.60,51.70,52.05,4291700,42.79
2007-10-19,52.60,52.60,52.60,52.60,000,43.24
2007-10-18,52.40,52.70,52.20,52.60,4118600,43.24
2007-10-17,53.50,53.50,51.85,52.55,2362600,43.20
2007-10-16,52.00,52.50,51.65,51.85,3720000,42.63
2007-10-15,52.40,52.65,51.60,52.40,3113000,43.08
2007-10-12,52.50,52.60,51.85,52.25,3736000,42.96
2007-10-11,52.30,52.85,52.00,52.45,4915400,43.12
